timestamp_ms,pid,user_time_ms,kernel_time_ms,cpu_percent,working_set_bytes,peak_working_set_bytes
42589669,1248,2312,406,0.00,143458304,151396352
42590183,1248,2312,406,0.00,143458304,151396352
42590698,1248,2312,406,0.00,143458304,151396352
